order_id,origin_port,3pl,customs_procedures,logistic_hub,customer,product_id,units,weight,material_handling,distance_port_hub,distance_hub_customer,distance_total,is_direct_shippment,prob_prod_late
0e364fa5c795,Rotterdam,v_002,CRF,Warsaw,Munich,1687644,477,1974.0,5.0,1135.6449,816.0497,1951.6946,0,0.3
3ef49bd5a55b,Barcelona,v_002,CRF,Venlo,Berlin,1699689,240,2369.0,0.0,1153.4178,512.8188,1666.2366,0,0.6
9ab5b9685bd5,Rotterdam,v_004,DTD,Bratislava,Paris,1652615,506,850.0,5.0,995.7185,1093.9242,2089.6427,0,0.1
bfce5b4fc4fa,Rotterdam,v_002,DTD,Rome,Hanover,1669740,553,2072.0,2.0,1269.2365,1183.4477,2452.6841999999997,0,0.4
d94453ec8ec5,Barcelona,v_001,CRF,Bratislava,Copenhagen,1695138,482,357.0,2.0,1397.414,894.1859,2291.5999,0,0.2
16fe6b6e9d6a,Rotterdam,v_004,CRF,Dusseldorf,Vienna,1690627,421,2114.0,3.0,177.3075,768.3073,945.6148000000001,0,0.4
ac5d5a986b9b,Rotterdam,v_002,CRF,Lille,Milan,1672714,542,1884.0,3.0,173.9644,733.8784,907.8428000000001,0,0.3
1c7a4ea7f4c0,Rotterdam,v_004,CRF,Warsaw,Cologne,1660579,478,969.0,5.0,1135.6449,986.9986,2122.6435,0,0.1
1c0c5e19e4c6,Rotterdam,v_002,DTP,Lille,Vienna,1644308,406,1088.0,3.0,173.9644,1001.0708,1175.0352,0,0.1
8cc176a0bf44,Barcelona,v_003,DTP,Bratislava,Vienna,1681883,322,1397.0,2.0,1397.414,55.1533,1452.5673,0,0.1
378bf77edb03,Barcelona,v_002,DTP,Liege,Milan,1685211,427,1029.0,3.0,1062.2681,635.8256,1698.0937,0,0.2
6170e21e95fe,Athens,v_004,DTP,Hamburg,Malmö,1672344,489,666.0,5.0,2025.2207,299.8548,2325.0755,0,0.2
d0149dd2e352,Rotterdam,v_004,CRF,Rome,Helsinki,1615677,473,989.0,3.0,1269.2365,2204.2242,3473.4607,0,0.1
ec189cf9511a,Rotterdam,v_004,DTD,Lille,Barcelona,1699666,634,1400.0,5.0,173.9644,1030.8249,1204.7893000000001,0,0.1
8ce32429276b,Barcelona,v_002,CRF,Warsaw,Malmö,1692948,502,773.0,0.0,1870.1057,648.9997,2519.1054,0,0.1
8f354881aca4,Rotterdam,v_004,DTD,Hamburg,Lyon,1696747,370,1855.0,1.0,414.4489,943.0273,1357.4762,0,0.2
5183af46e4b0,Athens,v_002,DTD,Bratislava,Madrid,1651366,556,1829.0,5.0,1250.4735,1862.1797,3112.6531999999997,0,0.2
aa23055aee87,Rotterdam,v_001,DTD,Venlo,Berlin,1660563,454,2214.0,3.0,130.0459,512.8188,642.8647,0,0.5
066f93ece0ae,Athens,v_001,CRF,Rome,Copenhagen,1660580,470,1889.0,0.0,1053.5083,1533.9085,2587.4168,0,0.3
39ae0191e962,Barcelona,v_003,DTD,Warsaw,Munich,1649002,423,1445.0,2.0,1870.1057,816.0497,2686.1554,0,0.1
1b18607a1f27,Athens,v_004,CRF,Warsaw,Milan,1613321,471,1086.0,0.0,1597.0905,1149.4642,2746.5546999999997,0,0.5
ba817071efdb,Rotterdam,v_002,CRF,Warsaw,Madrid,1699345,427,2158.0,5.0,1135.6449,2297.8442,3433.4891,0,0.5
0ed5f650f94b,Barcelona,v_002,CRF,Zaragoza,Milan,1613321,474,1086.0,0.0,257.0251,916.383,1173.4081,0,0.5
e16f0c63de78,Rotterdam,v_004,DTD,Lille,Milan,1650715,471,1895.0,4.0,173.9644,733.8784,907.8428000000001,0,0.6
7fb235d6d8b9,Rotterdam,v_004,CRF,Dusseldorf,Berlin,1669701,478,1521.0,0.0,177.3075,477.3717,654.6792,0,0.1
64b593da64e9,Rotterdam,v_004,CRF,Warsaw,Madrid,1683392,557,1822.0,5.0,1135.6449,2297.8442,3433.4891,0,0.3
ea4bd847f661,Rotterdam,v_002,DTD,Warsaw,Rome,1683388,417,855.0,2.0,1135.6449,1319.6796,2455.3244999999997,0,0.1
fc7fbe5f0b2a,Rotterdam,v_004,DTD,Lille,Barcelona,1684808,378,1705.0,3.0,173.9644,1030.8249,1204.7893000000001,0,0.2
fe4ee1985152,Rotterdam,v_002,DTD,Dusseldorf,Lyon,1699586,514,1622.0,1.0,177.3075,624.6864,801.9939,0,0.1
857d63724a1e,Rotterdam,v_003,CRF,Venlo,Vienna,1699135,471,1002.0,0.0,130.0459,815.6854,945.7312999999999,0,0.2
bed1287c41ce,Athens,v_004,CRF,Hamburg,Munich,1683403,482,161.0,1.0,2025.2207,612.2829,2637.5036,0,0.6
13ca636c8dac,Rotterdam,v_002,DTD,Venlo,Rome,1695139,505,669.0,2.0,130.0459,1160.8464,1290.8923,0,0.2
8f9a0c77cbb1,Rotterdam,v_004,DTD,Hamburg,Lyon,1670215,590,1385.0,3.0,414.4489,943.0273,1357.4762,0,0.4
576ca97329ce,Rotterdam,v_004,DTD,Zaragoza,Cologne,1681379,508,744.0,3.0,1212.1854,1194.4688,2406.6542,0,0.2
f241edf505df,Rotterdam,v_002,DTD,Bratislava,Paris,1690632,514,998.0,5.0,995.7185,1093.9242,2089.6427,0,0.1
182c736118b7,Rotterdam,v_002,CRF,Zaragoza,Milan,1657437,515,674.0,2.0,1212.1854,916.383,2128.5684,0,0.2
ea95131ba714,Athens,v_004,CRF,Venlo,Stockholm,1683407,463,2199.0,1.0,2029.5726,1159.0472,3188.6198,0,0.6
